part_number,quantity,guide_parice
21S10,10,5.015
A0021-21S10,10,5.015
03B10S,10,8.5085
03 B10S,10,8.5085
MS35207-263,50,1.649
ASNA0363T0502,5,9.622
CR7773S-05-02W,5,9.622
EN3155-008M2018,100,0.272
EN3155008M2018,100,0.272
EN3155-016M1212,1,13.056
DHS713-181-04,1,13.056
DHS713-181.04,1,13.056
EN3155016M1212,1,13.056
937910EA1200,1,13.056
NSA937910EA1200,1,13.056
123000112,1,13.056
ASNA0341T0404,5,7.922
CR7770S-04-04W,5,7.922
ASNA0341T04-04,5,7.922
MS24665-134,10,0.3655
ASNA0113-32CA,100,0.3315
ASN-A0113-32CA,100,0.3315
53114-32CA,100,0.3315
SL854-M5F4C,5,13.124
NSA55172-001,5,16.6685
55172-001,5,16.6685
26R16-1,5,16.6685
22201BC080044L,1,12.223
22125BC060034L,10,6.426
L22125-60-34BCL,10,6.426
NSA55144-001,20,0.8755
55144-001,20,0.8755
2600SW,20,0.8755
LN9338-05,1,0.969
LN9338-06,1,8.687
ASNA0113-24ADL,50,2.2695
53114-24ADL,50,2.2695
2193-10C,1,104.0655
2193 10C,1,104.0655
SL854-M4F4C,5,12.801
SL854-M4F04C,5,12.801
SL854M4F04C,5,12.801
8400-618B900,1,5.576
8400-618,1,5.576
MS28775-219,20,3.3065
DHS443-152.94,5,14.4585
SL601M5127A,5,14.4585
SL601M5-12-7A,5,14.4585
ASNA0077A407,10,2.567
CR3212-4-7,10,2.567
A0077A407,10,2.567
PA6/6M5X8,200,1.3005
4430050008,200,1.3005
M5X8-0443PA6-6,200,1.3005
A0023C10R25N-W,1,84.983
51453C10R25NW,1,84.983
55701C10R25N-W,1,84.983
55701C10R25NW,1,84.983
A0023C10R25NW,1,84.983
ASNA0341T0403,5,7.7095
CR7770S-04-03W,5,7.7095
ASNA0341T04-03,5,7.7095
CR7770S-4-3W,5,7.7095
22719BC040014L,2,39.967
L22719-40-14BCL,2,39.967
23201AM0040T,100,0.153
L23201-4AMT,100,0.153
22719BC060016L,1,55.3435
L22719-60-16BCL,1,55.3435
DHS443-152.91,2,13.2685
DHS443-152-91,2,13.2685
SL601M4-12-7A,2,13.2685
77-01-029-069,1,293.726
08-52-822-952,1,293.726
852822952,1,293.726
7701029069,1,293.726
22271BC040032L,10,2.703
L22271-40-32BCL,10,2.703
ASNA0265-120,5,30.4045
A0164TK050026X,1,9.656
ASNA0164TK050026X,1,9.656
ASNA0113-48ADL,100,0.6545
53114-48ADL,100,0.6545
A0019-0961MV,1,57.681
ASNA0019-0961MV,1,57.681
MS28778-3,10,2.1845
22252TK050027X,10,8.2875
NSA55184-1,1,10.9565
55184-1,1,10.9565
4002SW,1,10.9565
DHS443-152.12,10,8.33
SL601M4-12-7S,10,8.33
DHS443-152.93,2,10.6165
DHS443-152.83,10,5.7715
DHS443-152-83,10,5.7715
SL601M5-9-4C,10,5.7715
A0164TK050S036X,10,8.194
ASNA0032H082,2,11.5855
55216H062-082,2,11.5855
55216H0062-082,2,11.5855
993109-105-6,5,10.846
993109-255-5,2,16.983
MS21042L06,50,0.3145
ASNA0113-40ADL,100,0.442
53114-40ADL,100,0.442
DHS443-152.22,10,4.6155
"EF1001M5-12,7SV",10,4.6155
DHS443-152-22,10,4.6155
SL601M5-12-7S,10,4.6155
MS28775-015,10,2.2355
1-78X13-99-20B8,10,2.2355
13-99X1-78-20B8,10,2.2355
6-07X1-78-20B8,10,2.2355
8546-734,10,2.2355
DHS443-152.85,2,12.5715
DHS443-152-85,2,12.5715
DHS443-152.88,10,3.417
DHS443-152.33,1,12.3335
SL601M6-15-9S,1,12.3335
MS21042L4,50,0.782
NSA937901M20-09,1,10.217
DHS713-112-29,1,10.217
DHS713-112.29,1,10.217
937901M2009,1,10.217
NSA937901M2009,1,10.217
NSA937901M20-11,1,34.68
DHS713-112-31,1,34.68
DHS713-112.31,1,34.68
937901M2011,1,34.68
NSA937901M2011,1,34.68
FJM11E20-11T,1,34.68
ASNA0082-203,10,9.5965
21110503,10,9.5965
54207-164-03-1L,10,9.5965
2111-0503,10,9.5965
ASNA0082-204,5,9.7835
21110504,5,9.7835
2411-0504,5,9.7835
54207-164-04-1L,5,9.7835
22271BC050044L,10,4.25
L22271-50-44BCL,10,4.25
23116AG160LE,10,21.3265
22129BE100124L,2,36.0145
993109-185-6,5,6.6215
993109-125-6,1,13.3195
E0053R14B12PNF,1,20.7485
22271BC050032L,10,3.4255
993303-165-5,10,3.2215
MS27467T25F35S,1,70.856
NAS1423-5,1,28.8405
MS28775-116,2,3.5785
AJ0187202620AA0,2,3.5785
MS28775-008,10,2.1165
AN6223B3,10,2.1165
8526-934,10,2.1165
MS28775-013,50,1.8275
10-82X1-78-20B8,50,1.8275
MS28775-114,10,2.278
218040550,10,2.278
8547-834,10,2.278
NSA55132-104,5,10.064
55132-104,5,10.064
2600-4,5,10.064
22201BC060017L,10,1.5725
22138BC060017L,10,1.5725
L22201-60-17BCL,10,1.5725
22201BC060021L,10,1.6745
L22201-60-21BCL,10,1.6745
22201BC060020L,10,6.6045
L22201-60-20BCL,10,6.6045
MS3470W14-18S,1,39.7715
M39029/30-221,1,5.916
53110-060,20,2.5075
NSA937915-20,1,46.546
937915-20,1,46.546
110720061,1,46.546
DHS443-152.01,2,12.2485
DHS443-152-01,2,12.2485
SL601M3-9-4S,2,12.2485
ASNA0033-016,5,3.621
55220-010-016,5,3.621
ST406M53P132,5,3.621
MS28775-034,10,2.856
EN2914-06012,10,2.703
E0053R16B26PNF,1,17.9605
FDBA50-16-26PNK090,1,17.9605
MS27980-7N,5,4.6155
ASNA0082-205,2,10.149
2111-0505,2,10.149
21110505,2,10.149
54207-164-05-1L,2,10.149
NAS1149F0563P,200,0.5355
AN960-516,200,0.5355
MS28778-8,5,2.4055
ECS0721M1210,1,16.4985
090-0005-12100,1,16.4985
0103-01-1210,1,16.4985
NSA55132-114,10,8.8995
55132-114,10,8.8995
2600-14,10,8.8995
M85049/49-2-12W,1,15.793
MS27506B12-2,1,15.793
MS3416-8EN,1,19.4055
006-0908-08-A499,1,19.4055
ABS0692-01,200,0.272
993503-505,1,13.226
ASNA0082-202,10,9.1885
21110502,10,9.1885
2411-0502,10,9.1885
54207-164-02-1L,10,9.1885
MBBN3075-2405D,1,4.7515
CCR264CS3-5,1,4.7515
22126BC060022L,1,11.492
L22126-60-22BCL,1,11.492
ABS0691-015,1,30.362
NSA55134-202,5,8.381
55134-202,5,8.381
212-12A,5,8.381
M83723-77R20-41N,1,174.097
M83723/77R2041N,1,174.097
MS28775-014,5,2.227
8544-734,5,2.227
NSA55134-001,1,32.453
55134-001,1,32.453
212-12SD,1,32.453
22208BC050006L,10,2.04
A0164TK040S010X,10,3.808
A0164TK040010X,10,3.808
ASNA0164TK040010X,10,3.808
A0164TK050S008X,2,8.687
ASN-A0164TK050S008,2,8.687
MS33737-13C,10,1.088
NAS487-17,10,1.088
MS33737-12C,10,2.8305
NAS487-16,10,2.8305
MS35489-14,5,8.5085
23350AC050LE,20,1.3345
L23350-50ACL,20,1.3345
ABS0691-030,1,7.055
ABS0691-020,1,6.7235
NSA936501TA2004,10,1.6405
936501-TA2004,10,1.6405
152657,10,1.6405
NSA55164-101,20,2.057
55164-101,20,2.057
M85049/49-2-16N,1,71.145
MS27506F16-2,1,71.145
ASNA0077A404,20,2.125
CR3212-4-4,20,2.125
NSA936501TA2201,20,1.2495
936501-TA2201,20,1.2495
936501TA2201,20,1.2495
152642,20,1.2495
M85049/49-2-14W,1,7.1825
MS27506B14-2,1,7.1825
MA9917-14W,1,7.1825
M85049-49-2-14W,1,7.1825
NSA935504-03,2,12.75
935504-03,2,12.75
935604-03,2,12.75
NSA93550403,2,12.75
EN3545E05MX,1,67.677
EN3545E05MXA00C,1,67.677
NSA937901M20-02,1,33.4985
DHS713-112-22,1,33.4985
DHS713-112.22,1,33.4985
937901M2002,1,33.4985
NSA937901M2002,1,33.4985
208-2B02,1,33.4985
SJ3283,10,2.0825
53105-50AEL,100,0.476
NSA936501TA2003,20,2.329
936501-TA2003,20,2.329
152656,20,2.329
NSA936501TA2006,10,1.343
936501-TA2006,10,1.343
NSA936501TA2205,20,1.36
936501-TA2205,20,1.36
152646,20,1.36
NSA938421-03,5,1.6405
8630-04,5,1.6405
EN2367-10014,50,0.272
MBBN3318-6-55-100,1,10.319
3318-6-55-100,1,10.319
EN3646A522,1,34.425
6120RAB22B000N,1,34.425
NSA938004-22,1,34.425
EN3646A520,1,35.887
6120RAB20B000N,1,35.887
NSA938004-20,1,35.887
DBA50PR20,1,35.887
ASNA0032-097,2,12.5885
55216-077-097,2,12.5885
FLEXINOX4,2,12.5885
55216-77-97,2,12.5885
117-804181,1,1013.2935
DC20963,1,15.3935
HM12BCL100,10,17.8925
MS25043-32D,1,55.0375
MS28775-017,50,1.887
MS28778-10,10,2.635
MS28775-217,10,3.2215
AN6227B22,10,3.2215
AN6227B22.,10,3.2215
MS21043-5,2,24.208
NAS1291,2,24.208
MS3106E10SL-3S,1,97.6905
AN3106E10SL3S,1,97.6905
MS3106E10SL3S,1,97.6905
MS3126F8-33S,1,100.7335
MS3126F8-33SN,1,100.7335
MS3456L10SL3S,1,47.0305
MS28775-212,10,3.3235
AN6227B17,10,3.3235
AN6227B17.,10,3.3235
SL854-M5C5C,1,29.6905
1N4005,5,16.983
13445A,1,272.442
2-36153-4,20,0.476
236153-4,20,0.476
201-136CZ-G1,1,399.568
201-136CZG1,1,399.568
252-8555-000,50,0.4845
MS35207-264,1,4.828
AN520-10R16,1,4.828
WH253,10,5.729
RR253,10,5.729
RR253SPIROLOX,10,5.729
RR 253,10,5.729
03B12S,5,9.163
MS24693S28,1,0.221
MS25043-16D,1,65.4755
M39029/22-192,1,2.7285
AN174-15,10,3.179
SL854CM5F1C,1,17.1275
EN2367-18020,50,0.408
EN3545E02FX,1,49.0025
EN3545E02FXA00C,1,49.0025
EN3545E02FXB00C,1,49.0025
EN2495-03AM,1,29.631
EN2495-03A,1,29.631
EN249503A,1,29.631
84402-003,1,29.631
84402003,1,29.631
AN176-16,1,5.3125
EN2495-25AM,1,45.4835
84402-025,1,45.4835
M39029/30-218,5,6.6725
M39029-30-218,5,6.6725
SL607M5-4C,5,9.707
EN2139-06005,20,0.34
MS35206-230,10,1.7085
SL210M4-1,10,3.655
EF2005M4-1,10,3.655
SL210-04-1,10,3.655
MS35489-19,1,7.8625
MS28775-222,2,6.3495
EN2139-06010,20,2.414
D20419-16,10,3.3405
NAS620C8L,1,1.326
VF1016,1,17.8755
122357-125,2,100.6995
03G10S,20,1.921
ECS2060-075P,20,1.921
MBBN3075-2403D,10,4.505
CCR264CS3-3,10,4.505
E0607-02,20,1.513
DHS515-101-35,20,1.513
704A67042026,20,1.513
M39029/30-217,20,5.151
M39029-30-217,20,5.151
K38215,1,5060.2625
TY3G1,1,0.527
EN2367-23022,500,0.5015
EN2139-05016,5,1.9975
DIN65398A05D,1,7.14
EN2998-060,10,2.9835
EN2948-060,5,0.5355
EN2367-18018,50,0.391
EN2998-080,2,4.505
EN2139-05005,50,0.289
EN2998-050,10,2.7795
EN2139-05010,50,0.85
NSA55134-104,10,3.0515
55134-102,10,3.0515
NSA55134-102,10,3.0515
26R6-1BB,10,3.0515
MS3106F32-6P,1,862.0785
EN2139-10010,10,10.829
EN213910010,10,10.829
EN2367-29028,100,0.2975
DIN65506-05D,1,21.335
EN2139-08020,1,4.743
EN2139-10016,10,6.477
EN2139-12010,20,2.4905
EN2998-120,2,14.297
EN2914-05010,5,2.703
MBBN3075-2402D,20,4.42
CCR264CS3-2,20,4.42
SL854-M4F10C,1,13.056
SL854M4F10C,1,13.056
8630-09S,1,52.564
ASNA0033H067,10,4.828
55220H047-067,10,4.828
A0033H067,10,4.828
ASNA0033H045,10,4.879
FX-8MH-25-45-V6TH7,10,4.879
55220H025-045,10,4.879
A0033H045,10,4.879
ASNA0033H097,5,3.8165
55220H077-097,5,3.8165
A0033H097,5,3.8165
ASNA0033H052,2,5.4825
2108 3052 42 111,2,5.4825
55220H032-052,2,5.4825
ASNA0033H082,5,5.6695
MINOXH8-62-82,5,5.6695
55220H062-082,5,5.6695
SL854-M4C5C,1,19.788
SL854M4C5C,1,19.788
SL 854-M4-C5C,1,19.788
ASNA0033H036,2,4.8365
55220H024-036,2,4.8365
EN2139-08005,10,1.819
ASNA0033H028,5,7.616
55220H018-028,5,7.616
ASNA0033H120,10,4.1905
FX08M100-120HJ,10,4.1905
FLEXH8-100-120,10,4.1905
MBBN3131N0520,1,50.541
EN2495-05AM,1,31.1865
84402-005,1,31.1865
EN2495-10AM,1,44.9905
84402-010,1,44.9905
84402010,1,44.9905
EN2495-15AM,1,45.3305
84402-015,1,45.3305
84402015,1,45.3305
ASNA0033H022,10,2.159
55220H014-022,10,2.159
EN2997RS01404BN,1,58.7945
LN471-06B,5,4.131
116SF2C502W253,1,1020.629
116SF2C502W00253,1,1020.629
MBBN3331AJ16,1,17.8075
FSUMJ-1601PD,1,17.8075
MBBN3318-4-55-120,1,32.1725
MBBN3331AJ14,1,18.853
FSUMJ-1401PD,1,18.853
MBBN3331AJ12,1,17.765
FSUMJ-1201PD,1,17.765
MBBN3331AJ10,1,17.6205
FSUMJ-1001PD,1,17.6205
EN2914-05016,1,2.312
23111CA050,20,0.3995
L23111-50CA,20,0.3995
3029-194,20,0.3995
EN2997S60803BN,1,88.4595
EN2997S60803B6,1,93.4065
8533-3KS0803S6L,1,93.4065
EN2997S61005BN,1,96.0925
E0374SX1607,1,13.192
616330,1,13.192
E0374SX2008,10,4.743
205116-1,10,4.743
EN3155-019F1212,10,1.7935
6492B00.12,10,1.7935
6492B0012,10,1.7935
NSA938152SA1200,10,1.7935
0603-32-1259B,10,1.7935
EN3155019F1212,10,1.7935
EN3155-018M2018,100,0.833
6490B0020,100,0.833
DHS716-921-20,100,0.833
NSA938151PA2000,100,0.833
EN3155018M2018,100,0.833
0641-10-2059B,100,0.833
6490B00-20,100,0.833
EN3155-019F1616,100,1.2665
6492B00.16,100,1.2665
6492B0016,100,1.2665
NSA938152SA1600,100,1.2665
M39029/5-116,100,1.2665
EN3155019F1616,100,1.2665
0603-33-1659B,100,1.2665
NSA937916-16,1,103.5725
DHS713-143-11,1,103.5725
DHS713-143.11,1,103.5725
937916-16,1,103.5725
NSA93791616,1,103.5725
208300,1,103.5725
20404,1,67.66
7-079-03-1704,1,67.66
20001,1,19.312
20 001,1,19.312
39081,1,76.9335
33844,1,45.968
29508,1,438.0475
EN2495-02AM,1,31.348
84402-002,1,31.348
EN2495-7A5M,1,29.631
84402-007,1,29.631
MBBN3318-4-45-120,1,8.415
MBBN3331AJ08,1,16.9915
55110-6,2,10.1745
PRN3-1-2,2,10.1745
MBBN3331AJ20,1,42.602
FSUMJ-2001PD,1,42.602
MBBN3331AJ22,1,19.057
FSUMJ-2201PD,1,19.057
EN3155-016M1616,100,0.884
DHS713-181-03,100,0.884
DHS713-181.03,100,0.884
937910EA1600,100,0.884
NSA937910EA1600,100,0.884
EN3155016M1616,100,0.884
00-1104-300-02,100,0.884
EN2997S61005B6,1,82.2715
8533-3KS1005S6L,1,82.2715
9836S1005S6L,1,82.2715
NSA936507TG1005,10,5.066
DHS711-717-50,10,5.066
133019-2,10,5.066
NSA936507TG0604,10,1.8955
E0080-01-12C,1,54.553
6150RDS12,1,54.553
E0080-01-14C,1,21.913
6150RDS14,1,21.913
8522-30-14B,1,21.913
E0080-01-24C,1,27.8715
6150RDS24,1,27.8715
8522-30-24B,1,27.8715
EN2997S02255BN,1,113.39
EN2997S61212AN,1,121.7285
022357-500-20,1,115.991
2235750020,1,115.991
EN2887-040010,10,9.2565
NSA937901M22-02,1,33.6685
DHS713-111.20,1,33.6685
937901M2202,1,33.6685
NSA937901M2202,1,33.6685
111510202,1,33.6685
208-1B02,1,33.6685
001115 102 02,1,33.6685
00115 102 02,1,33.6685
NSA937901M22-04,1,40.987
937901M2204,1,40.987
NSA937901M2204,1,40.987
111510402,1,40.987
NSA937901M22-06,5,10.693
NSA937901M2206,5,10.693
8559E2206B,5,10.693
DIN65545-050U,1,0.5355
DIN65545-05U,1,0.5355
MBBN3131N0510,1,113.883
E0617B11N,1,72.59
E0617B13N,1,67.2435
M85049/38-13N,1,67.2435
M85049-38S13N,1,67.2435
E0617B15N,1,83.895
GS85049/38S15M,1,83.895
M85049/38-15N,1,83.895
EN3155-018M2020,20,0.8415
M39029-4-20-20,20,0.8415
M39029/4-110,20,0.8415
8526-1348,20,0.8415
EN3155018M2020,20,0.8415
EN3155-018M1618,20,1.122
EN3155018M1618,20,1.122
NSA938151PA1602,20,1.122
EN3155-018M1616,10,1.4195
6490B0016,10,1.4195
EN3155018M1616,10,1.4195
NSA938151PA1600,10,1.4195
M39029/4-111,10,1.4195
EN3155-008M2020,10,0.714
EN3155008M2020,10,0.714
M39029/58-363,10,0.714
E0547FZ2000,10,0.714
EN3155-008M1616,100,0.9095
M39029/58-364,100,0.9095
EN3155008M1616,100,0.9095
E0547FZ1600,100,0.9095
EN3155-008M1212,100,1.2835
EN3155008M1212,100,1.2835
M39029/58-365,100,1.2835
E0547FZ1200,100,1.2835
VG95343T18B001A,1,6.6555
202K121-25-225,1,6.6555
202K121-25/225,1,6.6555
202K121-25/225-0,1,6.6555
MBBN3348E,1,39.627
R143156,1,39.627
VG95343T18B002A,1,13.26
VG95343T18B003A,10,8.415
202K132-25-225,10,8.415
202K132-25/225,10,8.415
VG95343T18B004A,1,10.081
202K142-25-225,1,10.081
202K142-25/225,1,10.081
VG95343T18B005A,2,12.7075
202K153-25/225,2,12.7075
VG95343T18B006A,2,12.461
202K163-25-01/225-,2,12.461
E0160-1-2H,1,2.516
MBBN3331AJ18,1,18.2155
FSUMJ-1801PD,1,18.2155
MBBN3331AJ24,1,20.196
EN3155-016M2222,100,0.7395
DHS713-181.05,100,0.7395
937910EA2200,100,0.7395
NSA937910EA2200,100,0.7395
EN3155016M2222,100,0.7395
EN3155-008M2222,20,0.714
M39029/58-360,20,0.714
EN3155008M2222,20,0.714
ASN-A3102-8762,20,0.714
E0547FZ2200,20,0.714
VG95343T18D002A,1,9.452
222K132-25-225,1,9.452
222K132-25/225,1,9.452
222K132-25/225-0,1,9.452
VG95343T18D003A,1,9.1375
222K142-25-225,1,9.1375
222K142-25/225,1,9.1375
EN2997S61212BN,1,115.396
8533-3KS1212SNL,1,115.396
NSA936501TA1403,10,2.0995
936501-TA1403,10,2.0995
936501TA1403,10,2.0995
153112,10,2.0995
E0617B19N,2,40.613
M85049/38-19N,2,40.613
E0737B0816,100,0.6715
DHS711-893-20,100,0.6715
DHS711-893.20,100,0.6715
TC-CAPS-4001-9-CS-,100,0.6715
EN3716-003M2,1,10.285
DHS271-112.13,1,10.285
EN3716003M2,1,10.285
DK3716E202TP,1,10.285
DK621-1412P,1,10.285
EN3716-004F2,1,10.3785
EN3716004F2,1,10.3785
DK-3716-F201-TS,1,10.3785
EN3716-004M2,1,89.6665
EN3716004M2,1,89.6665
139515-000,1,89.6665
EN3716-003F2,1,97.138
EN3716003F2,1,97.138
EN3155-003F2222,10,0.714
EN3155003F2222,10,0.714
M39029-57-354,10,0.714
M39029/57-354,10,0.714
001704-100-02,10,0.714
NSA937901S1,5,3.4425
001102-002-60,5,3.4425
1102-1,5,3.4425
E0605DFC,1,115.175
133292-1,1,115.175
CCR274SS3-02,10,3.417
CCR274SS3-2,10,3.417
E0043-1A9P,100,0.4845
0043-1A9P,100,0.4845
TY-RAP25M,100,0.4845
ASNA0341T0504,1,10.0385
CR7770S-05-04W,1,10.0385
ASNA0341T05-04,1,10.0385
ASNA0341T504,1,10.0385
ASNA0341T0505,1,10.438
CR7770S-05-05W,1,10.438
ASNA0341T05-05,1,10.438
MS28775-113,5,2.907
8546-834,5,2.907
AS3209-010,20,2.6435
M83248/1-010,20,2.6435
EN3545-007SCD,1,4.964
EN3545SCD,1,4.964
E0393D01,1,4.964
EN2495-01AM,1,36.6265
84402-001,1,36.6265
EN3545E01MX,1,56.831
EN3545E01MXA00C,1,56.831
EN3545E01MXB00C,1,56.831
EN3545E01FX,1,32.572
EN3545E01FXA00C,1,32.572
EN3545E01FXB00C,1,32.572
001925-210-00,1,32.572
EN3545E03FX,1,70.669
EN3545E03FXA00C,1,70.669
EN3545E03MX,1,33.881
EN3545E03MXA00C,1,33.881
EN3545E03MXB00C,1,33.881
EN3155-014M2018,20,2.873
EN3155014M2018,20,2.873
8665-164,20,2.873
E0395FV2001,20,2.873
EN3155-015F2018,100,0.765
EN3155015F2018,100,0.765
EN3155-015,100,0.765
E0396DV2001,100,0.765
EN3155-008M1614,20,0.884
001714-302-02,20,0.884
EN3155008M1614,20,0.884
ASN-A3102-8733,20,0.884
EN3155-003F1614,20,0.9095
EN3155003F1614,20,0.9095
001704-302-02,20,0.9095
EN2495-20AM,1,44.9905
84402-020,1,44.9905
ASNA0077A403,20,1.003
CR3212-4-3,20,1.003
ASNA0077E404,10,2.38
MBBN3013M3204,10,2.38
CR3522-4-4,10,2.38
ASNA0077C404,10,2.38
ASNA0079-407A,20,1.921
54212-407DCA,20,1.921
4807-0407,20,1.921
ASNA0078A502,10,2.686
CR3213-5-2,10,2.686
CR3213-5-02,10,2.686
ASNA0080-407A,100,0.68
54213-407DCA,100,0.68
4801-0407,100,0.68
ASNA0080-409A,100,0.731
4801-0409,100,0.731
