part_number,quantity,guide_price,,,,,
938150-02-12,1,6.1115,,,,,
NSA9381500212,1,6.1115,,,,,
NSA9381500312,1,63.682,,,,,
6150RDC12,1,63.682,,,,,
938150-03-12,1,63.682,,,,,
8522-12-12B,1,63.682,,,,,
MS21042-04,50,0.459,,,,,
MS21044N4,25,3.6635,,,,,
MS27039-1-08,100,1.581,,,,,
MS28775-010,50,1.7765,,,,,
1-78X6-07-24B7.,50,1.7765,,,,,
8531-834,50,1.7765,,,,,
MS28778-4,5,2.193,,,,,
MS21044N06,50,0.357,,,,,
MS210044N06,50,0.357,,,,,
NSA55144-003,100,3.077,,,,,
55144-003,100,3.077,,,,,
2600LW,100,3.077,,,,,
ASNA0021-21G03,10,2.6265,,,,,
A0021-21G03,10,2.6265,,,,,
ASNA0113-32ADL,100,0.323,,,,,
53114-32ADL,100,0.323,,,,,
03B10S,10,8.5085,,,,,
03 B10S,10,8.5085,,,,,
ASNA0363T0502,5,9.622,,,,,
CR7773S-05-02W,5,9.622,,,,,
8500-275,50,1.02,,,,,
EN3155-008M2018,100,0.272,,,,,
EN3155008M2018,100,0.272,,,,,
MS24665-134,10,0.3655,,,,,
ASNA0113-32CA,100,0.3315,,,,,
ASN-A0113-32CA,100,0.3315,,,,,
53114-32CA,100,0.3315,,,,,
SL854-M5F4C,5,13.124,,,,,
SL854-M4F7C,1,18.4365,,,,,
SL854M4F7C,1,18.4365,,,,,
22125BC060034L,10,6.426,,,,,
L22125-60-34BCL,10,6.426,,,,,
NSA55144-001,20,0.8755,,,,,
55144-001,20,0.8755,,,,,
2600SW,20,0.8755,,,,,
LN9338-05,1,0.969,,,,,
LN9338-06,1,8.687,,,,,
ASNA0113-24ADL,50,2.2695,,,,,
53114-24ADL,50,2.2695,,,,,
SL854-M6F5C,1,12.835,,,,,
SL854M6F5C,1,12.835,,,,,
8500-278,5,5.134,,,,,
62GB760-14,5,5.134,,,,,
ASNA0077A407,10,2.567,,,,,
CR3212-4-7,10,2.567,,,,,
A0077A407,10,2.567,,,,,
A0023C10R25N-W,1,84.983,,,,,
51453C10R25NW,1,84.983,,,,,
55701C10R25N-W,1,84.983,,,,,
55701C10R25NW,1,84.983,,,,,
A0023C10R25NW,1,84.983,,,,,
ASNA0341T0403,5,7.7095,,,,,
CR7770S-04-03W,5,7.7095,,,,,
ASNA0341T04-03,5,7.7095,,,,,
CR7770S-4-3W,5,7.7095,,,,,
22719BC040014L,2,39.967,,,,,
L22719-40-14BCL,2,39.967,,,,,
77-01-029-069,1,293.726,,,,,
08-52-822-952,1,293.726,,,,,
852822952,1,293.726,,,,,
7701029069,1,293.726,,,,,
22271BC040032L,10,2.703,,,,,
L22271-40-32BCL,10,2.703,,,,,
A0164TK050026X,1,9.656,,,,,
ASNA0164TK050026X,1,9.656,,,,,
ASNA0113-48ADL,100,0.6545,,,,,
53114-48ADL,100,0.6545,,,,,
A0019-0961MV,1,57.681,,,,,
ASNA0019-0961MV,1,57.681,,,,,
DHS443-152.83,10,5.7715,,,,,
DHS443-152-83,10,5.7715,,,,,
SL601M5-9-4C,10,5.7715,,,,,
A0164TK050S036X,10,8.194,,,,,
ASNA0032H082,2,11.5855,,,,,
55216H062-082,2,11.5855,,,,,
55216H0062-082,2,11.5855,,,,,
ASNA0113-40ADL,100,0.442,,,,,
53114-40ADL,100,0.442,,,,,
DHS443-152.22,10,4.6155,,,,,
"EF1001M5-12,7SV",10,4.6155,,,,,
DHS443-152-22,10,4.6155,,,,,
SL601M5-12-7S,10,4.6155,,,,,
MS28775-015,10,2.2355,,,,,
1-78X13-99-20B8,10,2.2355,,,,,
13-99X1-78-20B8,10,2.2355,,,,,
6-07X1-78-20B8,10,2.2355,,,,,
8546-734,10,2.2355,,,,,
MS29513-137,5,3.859,,,,,
MS35338-43,200,3.298,,,,,
MS21042L4,50,0.782,,,,,
NSA937901M20-09,1,10.217,,,,,
DHS713-112-29,1,10.217,,,,,
DHS713-112.29,1,10.217,,,,,
937901M2009,1,10.217,,,,,
NSA937901M2009,1,10.217,,,,,
NSA937901M20-11,1,34.68,,,,,
DHS713-112-31,1,34.68,,,,,
DHS713-112.31,1,34.68,,,,,
937901M2011,1,34.68,,,,,
NSA937901M2011,1,34.68,,,,,
FJM11E20-11T,1,34.68,,,,,
ASNA0082-203,10,9.5965,,,,,
21110503,10,9.5965,,,,,
54207-164-03-1L,10,9.5965,,,,,
2111-0503,10,9.5965,,,,,
ASNA0082-204,5,9.7835,,,,,
21110504,5,9.7835,,,,,
2411-0504,5,9.7835,,,,,
54207-164-04-1L,5,9.7835,,,,,
22271BC050044L,10,4.25,,,,,
L22271-50-44BCL,10,4.25,,,,,
NAS509-7,20,12.036,,,,,
23116AG160LE,10,21.3265,,,,,
993109-125-6,1,13.3195,,,,,
993303-165-5,10,3.2215,,,,,
NAS1423-5,1,28.8405,,,,,
AN970-3,50,1.6405,,,,,
MS28775-008,10,2.1165,,,,,
AN6223B3,10,2.1165,,,,,
8526-934,10,2.1165,,,,,
MS28775-114,10,2.278,,,,,
218040550,10,2.278,,,,,
8547-834,10,2.278,,,,,
MS28775-127,20,2.924,,,,,
NSA55132-104,5,10.064,,,,,
55132-104,5,10.064,,,,,
2600-4,5,10.064,,,,,
M39029/30-221,1,5.916,,,,,
EN2023S10L,1,32.946,,,,,
RL10,1,32.946,,,,,
NSA937915-20,1,46.546,,,,,
937915-20,1,46.546,,,,,
110720061,1,46.546,,,,,
ASNA0033-016,5,3.621,,,,,
55220-010-016,5,3.621,,,,,
ST406M53P132,5,3.621,,,,,
E0053R16B26PNF,1,17.9605,,,,,
FDBA50-16-26PNK090,1,17.9605,,,,,
EN2139-08010,5,2.414,,,,,
MS27980-7N,5,4.6155,,,,,
8500-276,10,4.08,,,,,
32040,10,4.08,,,,,
MS28778-8,5,2.4055,,,,,
A0164TK050S026X,10,9.639,,,,,
ABS0692-01,200,0.272,,,,,
993503-505,1,13.226,,,,,
8500-277,50,2.533,,,,,
K413-0234,50,2.533,,,,,
22126BC060020L,10,5.2955,,,,,
ABS0691-015,1,30.362,,,,,
MS28775-014,5,2.227,,,,,
8544-734,5,2.227,,,,,
22208BC050006L,10,2.04,,,,,
A0164TK040S010X,10,3.808,,,,,
A0164TK040010X,10,3.808,,,,,
ASNA0164TK040010X,10,3.808,,,,,
A0164TK050S008X,2,8.687,,,,,
ASN-A0164TK050S008,2,8.687,,,,,
MS33737-13C,10,1.088,,,,,
NAS487-17,10,1.088,,,,,
MS33737-12C,10,2.8305,,,,,
NAS487-16,10,2.8305,,,,,
23350AC050LE,20,1.3345,,,,,
L23350-50ACL,20,1.3345,,,,,
ASNA0082-207,2,10.7695,,,,,
21110507,2,10.7695,,,,,
54207-164-07-1L,2,10.7695,,,,,
NSA936501TA2004,10,1.6405,,,,,
936501-TA2004,10,1.6405,,,,,
152657,10,1.6405,,,,,
ASNA0077A404,20,2.125,,,,,
CR3212-4-4,20,2.125,,,,,
NSA936501TA2201,20,1.2495,,,,,
936501-TA2201,20,1.2495,,,,,
936501TA2201,20,1.2495,,,,,
152642,20,1.2495,,,,,
NSA935504-03,2,12.75,,,,,
935504-03,2,12.75,,,,,
935604-03,2,12.75,,,,,
NSA93550403,2,12.75,,,,,
R141782,1,95.2595,,,,,
NSA937901M20-02,1,33.4985,,,,,
DHS713-112-22,1,33.4985,,,,,
DHS713-112.22,1,33.4985,,,,,
937901M2002,1,33.4985,,,,,
NSA937901M2002,1,33.4985,,,,,
208-2B02,1,33.4985,,,,,
53105-50AEL,100,0.476,,,,,
MS21044N08,1,4.182,,,,,
NSA936501TA2003,20,2.329,,,,,
936501-TA2003,20,2.329,,,,,
152656,20,2.329,,,,,
MS35489-23,2,12.971,,,,,
NSA936501TA2006,10,1.343,,,,,
936501-TA2006,10,1.343,,,,,
NSA936501TA2205,20,1.36,,,,,
936501-TA2205,20,1.36,,,,,
152646,20,1.36,,,,,
MS29513-210,10,2.8645,,,,,
NSA938421-03,5,1.6405,,,,,
8630-04,5,1.6405,,,,,
EN3646A520,1,35.887,,,,,
6120RAB20B000N,1,35.887,,,,,
NSA938004-20,1,35.887,,,,,
DBA50PR20,1,35.887,,,,,
ASNA0032-097,2,12.5885,,,,,
55216-077-097,2,12.5885,,,,,
FLEXINOX4,2,12.5885,,,,,
55216-77-97,2,12.5885,,,,,
117-804181,1,1013.2935,,,,,
DC20963,1,15.3935,,,,,
MS28775-027,20,2.295,,,,,
MS28778-10,10,2.635,,,,,
MS29561-013,2,3.3575,,,,,
MS3456L10SL3S,1,47.0305,,,,,
SL854-M5C5C,1,29.6905,,,,,
SL854-M5C7C,1,13.396,,,,,
SL854M5C7C,1,13.396,,,,,
13445A,1,272.442,,,,,
2-36153-4,20,0.476,,,,,
236153-4,20,0.476,,,,,
201-136CZ-G1,1,399.568,,,,,
201-136CZG1,1,399.568,,,,,
MS28775-009,1,2.9665,,,,,
179289,1,2.9665,,,,,
MS29513-127,20,2.635,,,,,
MS9372-019,10,2.4905,,,,,
WH165,10,5.508,,,,,
RR165,10,5.508,,,,,
RR165SPIROLOX,10,5.508,,,,,
RR 165,10,5.508,,,,,
03B12S,5,9.163,,,,,
M39029/22-192,1,2.7285,,,,,
T4-0013,1,438.872,,,,,
8500-2054,1,56.4825,,,,,
8500-2055,1,68.4505,,,,,
EN2367-18020,50,0.408,,,,,
EN3545E02FX,1,49.0025,,,,,
EN3545E02FXA00C,1,49.0025,,,,,
EN3545E02FXB00C,1,49.0025,,,,,
EN2495-03AM,1,29.631,,,,,
EN2495-03A,1,29.631,,,,,
EN249503A,1,29.631,,,,,
84402-003,1,29.631,,,,,
84402003,1,29.631,,,,,
WS125,50,0.561,,,,,
RS125,50,0.561,,,,,
RS 125,50,0.561,,,,,
EN2367-18022,10,0.408,,,,,
EN2367-14016,20,0.323,,,,,
EN2867-050,5,2.516,,,,,
M39029/30-218,5,6.6725,,,,,
M39029-30-218,5,6.6725,,,,,
1294818,5,3.9865,,,,,
5445900,5,3.9865,,,,,
SL607M5-4C,5,9.707,,,,,
MBBN3403-12,1,5.7715,,,,,
D108-12,1,5.7715,,,,,
620-857-445-0,1,5.7715,,,,,
SL210M4-1,10,3.655,,,,,
EF2005M4-1,10,3.655,,,,,
SL210-04-1,10,3.655,,,,,
MS35489-19,1,7.8625,,,,,
8630-93C15A,10,6.6045,,,,,
8630-93C15ALF,10,6.6045,,,,,
863093C15A,10,6.6045,,,,,
VF1016,1,17.8755,,,,,
122357-125,2,100.6995,,,,,
03G10S,20,1.921,,,,,
ECS2060-075P,20,1.921,,,,,
E0607-02,20,1.513,,,,,
DHS515-101-35,20,1.513,,,,,
704A67042026,20,1.513,,,,,
M39029/30-217,20,5.151,,,,,
M39029-30-217,20,5.151,,,,,
TY3G1,1,0.527,,,,,
EN2367-23025,10,0.5525,,,,,
EN2998-080,2,4.505,,,,,
EN2139-04005,10,0.9265,,,,,
EN2139-05010,50,0.85,,,,,
NSA55134-104,10,3.0515,,,,,
55134-102,10,3.0515,,,,,
NSA55134-102,10,3.0515,,,,,
26R6-1BB,10,3.0515,,,,,
EN2914-05010,5,2.703,,,,,
EN2139-02505,10,0.357,,,,,
NSA55133-103,5,11.9085,,,,,
55133-103,5,11.9085,,,,,
2600-3W,5,11.9085,,,,,
8630-09S,1,52.564,,,,,
ASNA0033H067,10,4.828,,,,,
55220H047-067,10,4.828,,,,,
A0033H067,10,4.828,,,,,
ASNA0033H045,10,4.879,,,,,
FX-8MH-25-45-V6TH7,10,4.879,,,,,
55220H025-045,10,4.879,,,,,
A0033H045,10,4.879,,,,,
EN2367-14010,100,0.2805,,,,,
DIN65265-05010A,10,0.544,,,,,
ASNA0033H052,2,5.4825,,,,,
2108 3052 42 111,2,5.4825,,,,,
55220H032-052,2,5.4825,,,,,
ASNA0033H082,5,5.6695,,,,,
MINOXH8-62-82,5,5.6695,,,,,
55220H062-082,5,5.6695,,,,,
SL854-M4C5C,1,19.788,,,,,
SL854M4C5C,1,19.788,,,,,
SL 854-M4-C5C,1,19.788,,,,,
ASNA0033H036,2,4.8365,,,,,
55220H024-036,2,4.8365,,,,,
EN2139-08005,10,1.819,,,,,
ASNA0033H028,5,7.616,,,,,
55220H018-028,5,7.616,,,,,
MBBN3131N0520,1,50.541,,,,,
EN2495-05AM,1,31.1865,,,,,
84402-005,1,31.1865,,,,,
EN2495-10AM,1,44.9905,,,,,
84402-010,1,44.9905,,,,,
84402010,1,44.9905,,,,,
EN2495-15AM,1,45.3305,,,,,
84402-015,1,45.3305,,,,,
84402015,1,45.3305,,,,,
ASNA0033H022,10,2.159,,,,,
55220H014-022,10,2.159,,,,,
116SF2C502W253,1,1020.629,,,,,
116SF2C502W00253,1,1020.629,,,,,
MBBN3331AJ14,1,18.853,,,,,
FSUMJ-1401PD,1,18.853,,,,,
MBBN3331AJ10,1,17.6205,,,,,
FSUMJ-1001PD,1,17.6205,,,,,
23111CA050,20,0.3995,,,,,
L23111-50CA,20,0.3995,,,,,
3029-194,20,0.3995,,,,,
EN2997S60803BN,1,88.4595,,,,,
EN2997S60803B6,1,93.4065,,,,,
8533-3KS0803S6L,1,93.4065,,,,,
EN2997S61005BN,1,96.0925,,,,,
EN2997S61006BN,1,99.1865,,,,,
E0374SX2008,10,4.743,,,,,
205116-1,10,4.743,,,,,
EN3155-019F1212,10,1.7935,,,,,
6492B00.12,10,1.7935,,,,,
6492B0012,10,1.7935,,,,,
NSA938152SA1200,10,1.7935,,,,,
0603-32-1259B,10,1.7935,,,,,
EN3155019F1212,10,1.7935,,,,,
EN3155-018M2018,100,0.833,,,,,
6490B0020,100,0.833,,,,,
DHS716-921-20,100,0.833,,,,,
NSA938151PA2000,100,0.833,,,,,
EN3155018M2018,100,0.833,,,,,
0641-10-2059B,100,0.833,,,,,
6490B00-20,100,0.833,,,,,
EN3155-019F1616,100,1.2665,,,,,
6492B00.16,100,1.2665,,,,,
6492B0016,100,1.2665,,,,,
NSA938152SA1600,100,1.2665,,,,,
M39029/5-116,100,1.2665,,,,,
EN3155019F1616,100,1.2665,,,,,
0603-33-1659B,100,1.2665,,,,,
20001,1,19.312,,,,,
20 001,1,19.312,,,,,
39081,1,76.9335,,,,,
33844,1,45.968,,,,,
29508,1,438.0475,,,,,
EN2495-7A5M,1,29.631,,,,,
84402-007,1,29.631,,,,,
55110-6,2,10.1745,,,,,
PRN3-1-2,2,10.1745,,,,,
EN3155-016M1616,100,0.884,,,,,
DHS713-181-03,100,0.884,,,,,
DHS713-181.03,100,0.884,,,,,
937910EA1600,100,0.884,,,,,
NSA937910EA1600,100,0.884,,,,,
EN3155016M1616,100,0.884,,,,,
00-1104-300-02,100,0.884,,,,,
NSA936507TG1005,10,5.066,,,,,
DHS711-717-50,10,5.066,,,,,
133019-2,10,5.066,,,,,
NSA936507TG0604,10,1.8955,,,,,
E0080-01-12C,1,54.553,,,,,
6150RDS12,1,54.553,,,,,
E0080-01-14C,1,21.913,,,,,
6150RDS14,1,21.913,,,,,
8522-30-14B,1,21.913,,,,,
E0080-01-24C,1,27.8715,,,,,
6150RDS24,1,27.8715,,,,,
8522-30-24B,1,27.8715,,,,,
EN2997S02255BN,1,113.39,,,,,
EN2997S61831AN,1,100.2745,,,,,
8533-3KS1831PNL,1,100.2745,,,,,
983-6S 18-31 PN-L,1,100.2745,,,,,
022357-500-20,1,115.991,,,,,
2235750020,1,115.991,,,,,
NSA937901M22-02,1,33.6685,,,,,
DHS713-111.20,1,33.6685,,,,,
937901M2202,1,33.6685,,,,,
NSA937901M2202,1,33.6685,,,,,
111510202,1,33.6685,,,,,
208-1B02,1,33.6685,,,,,
001115 102 02,1,33.6685,,,,,
00115 102 02,1,33.6685,,,,,
NSA937901M22-04,1,40.987,,,,,
937901M2204,1,40.987,,,,,
NSA937901M2204,1,40.987,,,,,
111510402,1,40.987,,,,,
NSA937901M22-06,5,10.693,,,,,
NSA937901M2206,5,10.693,,,,,
8559E2206B,5,10.693,,,,,
E0617B11N,1,72.59,,,,,
E0617B13N,1,67.2435,,,,,
M85049/38-13N,1,67.2435,,,,,
M85049-38S13N,1,67.2435,,,,,
EN3155-018M2020,20,0.8415,,,,,
M39029-4-20-20,20,0.8415,,,,,
M39029/4-110,20,0.8415,,,,,
8526-1348,20,0.8415,,,,,
EN3155018M2020,20,0.8415,,,,,
EN3155-018M1616,10,1.4195,,,,,
6490B0016,10,1.4195,,,,,
EN3155018M1616,10,1.4195,,,,,
NSA938151PA1600,10,1.4195,,,,,
M39029/4-111,10,1.4195,,,,,
EN3155-008M2020,10,0.714,,,,,
EN3155008M2020,10,0.714,,,,,
M39029/58-363,10,0.714,,,,,
E0547FZ2000,10,0.714,,,,,
EN3155-008M1616,100,0.9095,,,,,
M39029/58-364,100,0.9095,,,,,
EN3155008M1616,100,0.9095,,,,,
E0547FZ1600,100,0.9095,,,,,
EN3155-008M1212,100,1.2835,,,,,
EN3155008M1212,100,1.2835,,,,,
M39029/58-365,100,1.2835,,,,,
E0547FZ1200,100,1.2835,,,,,
VG95343T18B001A,1,6.6555,,,,,
202K121-25-225,1,6.6555,,,,,
202K121-25/225,1,6.6555,,,,,
202K121-25/225-0,1,6.6555,,,,,
VG95343T18B002A,1,13.26,,,,,
VG95343T18B003A,10,8.415,,,,,
202K132-25-225,10,8.415,,,,,
202K132-25/225,10,8.415,,,,,
VG95343T18B004A,1,10.081,,,,,
202K142-25-225,1,10.081,,,,,
202K142-25/225,1,10.081,,,,,
VG95343T18B005A,2,12.7075,,,,,
202K153-25/225,2,12.7075,,,,,
MBBN3331AJ24,1,20.196,,,,,
EN3155-016M2222,100,0.7395,,,,,
DHS713-181.05,100,0.7395,,,,,
937910EA2200,100,0.7395,,,,,
NSA937910EA2200,100,0.7395,,,,,
EN3155016M2222,100,0.7395,,,,,
EN3155-008M2222,20,0.714,,,,,
M39029/58-360,20,0.714,,,,,
EN3155008M2222,20,0.714,,,,,
ASN-A3102-8762,20,0.714,,,,,
E0547FZ2200,20,0.714,,,,,
VG95343T18D002A,1,9.452,,,,,
222K132-25-225,1,9.452,,,,,
222K132-25/225,1,9.452,,,,,
222K132-25/225-0,1,9.452,,,,,
VG95343T18D003A,1,9.1375,,,,,
222K142-25-225,1,9.1375,,,,,
222K142-25/225,1,9.1375,,,,,
EN2997S61212BN,1,115.396,,,,,
8533-3KS1212SNL,1,115.396,,,,,
NSA936501TA1403,10,2.0995,,,,,
936501-TA1403,10,2.0995,,,,,
936501TA1403,10,2.0995,,,,,
153112,10,2.0995,,,,,
E0737B0816,100,0.6715,,,,,
DHS711-893-20,100,0.6715,,,,,
DHS711-893.20,100,0.6715,,,,,
TC-CAPS-4001-9-CS-,100,0.6715,,,,,
EN3155-003F2222,10,0.714,,,,,
EN3155003F2222,10,0.714,,,,,
M39029-57-354,10,0.714,,,,,
M39029/57-354,10,0.714,,,,,
001704-100-02,10,0.714,,,,,
NSA937901S1,5,3.4425,,,,,
001102-002-60,5,3.4425,,,,,
1102-1,5,3.4425,,,,,
E0605DFC,1,115.175,,,,,
133292-1,1,115.175,,,,,
CCR274SS3-02,10,3.417,,,,,
CCR274SS3-2,10,3.417,,,,,
AS3209-113,10,4.3095,,,,,
M8348/1-113,10,4.3095,,,,,
MS9388-113,10,4.3095,,,,,
AS3209-010,20,2.6435,,,,,
M83248/1-010,20,2.6435,,,,,
EN3545-007SCD,1,4.964,,,,,
EN3545SCD,1,4.964,,,,,
E0393D01,1,4.964,,,,,
EN2495-01AM,1,36.6265,,,,,
84402-001,1,36.6265,,,,,
EN3545E01MX,1,56.831,,,,,
EN3545E01MXA00C,1,56.831,,,,,
EN3545E01MXB00C,1,56.831,,,,,
EN3545E01FX,1,32.572,,,,,
EN3545E01FXA00C,1,32.572,,,,,
EN3545E01FXB00C,1,32.572,,,,,
001925-210-00,1,32.572,,,,,
EN3155-015F2018,100,0.765,,,,,
EN3155015F2018,100,0.765,,,,,
EN3155-015,100,0.765,,,,,
E0396DV2001,100,0.765,,,,,
EN2495-20AM,1,44.9905,,,,,
84402-020,1,44.9905,,,,,
AD46,100,0.306,,,,,
AD56,100,0.306,,,,,
AD56POP,100,0.306,,,,,
AE5-50,10,8.194,,,,,
AE6-105,1,13.345,,,,,
AJ4-95,10,7.735,,,,,
ASNA0077A403,20,1.003,,,,,
CR3212-4-3,20,1.003,,,,,
ASNA0077E404,10,2.38,,,,,
MBBN3013M3204,10,2.38,,,,,
CR3522-4-4,10,2.38,,,,,
ASNA0077C404,10,2.38,,,,,
ASNA0079-407A,20,1.921,,,,,
54212-407DCA,20,1.921,,,,,
4807-0407,20,1.921,,,,,
ASNA0078A502,10,2.686,,,,,
CR3213-5-2,10,2.686,,,,,
CR3213-5-02,10,2.686,,,,,
ASNA0080-407A,100,0.68,,,,,
54213-407DCA,100,0.68,,,,,
4801-0407,100,0.68,,,,,
ASNA0080-409A,100,0.731,,,,,
4801-0409,100,0.731,,,,,
54213-409DCA,100,0.731,,,,,
ASNA0080-508A,10,1.1985,,,,,
A0019-0961M,1,107.27,,,,,
A3917-200,1,107.27,,,,,
ASNA3917-200,1,107.27,,,,,
ASNA0019-0961M,1,107.27,,,,,
A0019-0965M,2,110.4745,,,,,
ASNA0019-0965M,2,110.4745,,,,,
ASNA0021-10N22,20,4.097,,,,,
10N22,20,4.097,,,,,
A0021-10N22,20,4.097,,,,,
ASNA0021-15N05,50,2.1845,,,,,
