part_number,quantity,guide_price
ABS0370-01,10,2.21
ABS0367-015,1,31.8325
NAS1149C0432R,1000,0.1275
AN960C416L,1000,0.1275
NSA937901RB1000,1,38.5135
937901RB1000,1,38.5135
EN3646A514,1,81.5915
6120RAB14B000N,1,81.5915
NSA938004-14,1,81.5915
DBA50PR14,1,81.5915
ABS0367-030,1,34.8755
LN9348-05,1,1.224
LN9161-03M,1,0.612
MS3105-32,1,90.185
MS28775-016,10,2.2695
804016,10,2.2695
MS24665-153,100,0.3485
ASNA0078E402,10,2.3885
ASNA0078C402,10,2.3885
CR3523P4-2,10,2.3885
EN4201-040,20,1.1135
8655-3140,1,33.6685
LN29540B02,1,13.022
BM4LN29540,1,13.022
40351-10,1,135.048
MS17826-4,5,1.309
ASNA0033-052,10,5.5675
MINOX1X,10,5.5675
55220-032-052,10,5.5675
ASNA0363T0401,2,8.3215
CR7773S-04-01W,2,8.3215
CR777S-04-01W,2,8.3215
DHS443-152.84,2,12.2485
SL601M5-12-7C,2,12.2485
EN2367-23018,100,0.4675
MS28778-6,10,2.2355
NSA55144-003,100,3.077
55144-003,100,3.077
2600LW,100,3.077
ASNA0113-32ADL,100,0.323
53114-32ADL,100,0.323
ASNA0113-24CA,100,0.2635
A0113-24CA,100,0.2635
ASNA0363T0502,5,9.622
CR7773S-05-02W,5,9.622
ASNA0341T0404,5,7.922
CR7770S-04-04W,5,7.922
ASNA0341T04-04,5,7.922
ASNA0113-32CA,100,0.3315
ASN-A0113-32CA,100,0.3315
53114-32CA,100,0.3315
NSA55144-001,20,0.8755
55144-001,20,0.8755
2600SW,20,0.8755
PA6/6M5X8,200,1.3005
4430050008,200,1.3005
M5X8-0443PA6-6,200,1.3005
A0023C10R25N-W,1,84.983
51453C10R25NW,1,84.983
55701C10R25N-W,1,84.983
55701C10R25NW,1,84.983
A0023C10R25NW,1,84.983
ASNA0341T0403,5,7.7095
CR7770S-04-03W,5,7.7095
ASNA0341T04-03,5,7.7095
CR7770S-4-3W,5,7.7095
ASNA0265-120,5,30.4045
LN9016-05K,50,0.527
A0164TK050S036X,10,8.194
LN9161-04M,1,0.952
LN9016-05L,20,1.088
NSA937915-20,1,46.546
937915-20,1,46.546
110720061,1,46.546
ASNA0033-016,5,3.621
55220-010-016,5,3.621
ST406M53P132,5,3.621
EN2914-06012,10,2.703
EN2139-08010,5,2.414
MBBN3090-0415,1,10.5145
A0164TK040S010X,10,3.808
A0164TK040010X,10,3.808
ASNA0164TK040010X,10,3.808
23350AC050LE,20,1.3345
L23350-50ACL,20,1.3345
NSA935504-03,2,12.75
935504-03,2,12.75
935604-03,2,12.75
NSA93550403,2,12.75
MBBN3090-0505,1,16.728
NSA935504-01,10,2.363
935504-01,10,2.363
NSA93550401,10,2.363
MS25043-32DA,1,129.4635
95110-250,5,6.4855
NSA938421-03,5,1.6405
8630-04,5,1.6405
MBBN3090-0525,1,8.9675
EN2367-14012,1000,0.289
117-804181,1,1013.2935
LN9016-05M,100,0.4335
MS28775-012,20,4.1055
9-25X1-78-20B8,20,4.1055
MS28775-009,1,2.9665
179289,1,2.9665
WH253,10,5.729
RR253,10,5.729
RR253SPIROLOX,10,5.729
RR 253,10,5.729
EN2367-18020,50,0.408
EN2495-03AM,1,29.631
EN2495-03A,1,29.631
EN249503A,1,29.631
84402-003,1,29.631
84402003,1,29.631
EN2367-18022,10,0.408
EN2367-14016,20,0.323
EN2139-06005,20,0.34
MBBN3012M3204,1,3.7655
CR3523-4-04,1,3.7655
EN2139-06010,20,2.414
E0607-02,20,1.513
DHS515-101-35,20,1.513
704A67042026,20,1.513
EN2834-010,1,11.458
EN2367-23022,500,0.5015
EN2139-05016,5,1.9975
EN2367-18025,20,0.425
EN2998-060,10,2.9835
EN2139-08016,1,3.808
EN2367-18018,50,0.391
EN2998-080,2,4.505
EN2914-06016,1,6.2305
EN2139-06016,20,1.632
EN2139-04005,10,0.9265
EN2139-05005,50,0.289
EN2998-050,10,2.7795
EN2139-05010,50,0.85
NSA55134-104,10,3.0515
55134-102,10,3.0515
NSA55134-102,10,3.0515
26R6-1BB,10,3.0515
EN2367-23014,10,0.425
EN2914-08016,10,5.6525
EN2139-08020,1,4.743
EN2139-04010,10,0.3655
EN2139-12010,20,2.4905
EN2914-04010,1,2.635
EN2914-05010,5,2.703
EN2914-04006,1,1.343
ASNA0033H097,5,3.8165
55220H077-097,5,3.8165
A0033H097,5,3.8165
EN2367-14010,100,0.2805
ASNA0033H052,2,5.4825
2108 3052 42 111,2,5.4825
55220H032-052,2,5.4825
ASNA0033H060,5,5.083
MBBN3090-0510,1,24.5055
MBBN3090-0515,1,8.823
MBBN3090-0520,1,28.407
EN2139-08005,10,1.819
EN2139-02004,1,8.976
ASNA0033H120,10,4.1905
FX08M100-120HJ,10,4.1905
FLEXH8-100-120,10,4.1905
DIN65379-2406EF,25,1.19
DIN65379-2405EF,100,1.0965
DIN65379-3208EF,1,1.7425
E0043-5B9P,20,0.2635
ASNE0043-5B9P,20,0.2635
32254,20,0.2635
EN2914-03006,1,1.666
DIN65379-3206EF,1,1.513
MBBN3318-6-55-120,1,32.9205
LN9178-3205EF,50,0.2805
MBBN3331AJ14,1,18.853
FSUMJ-1401PD,1,18.853
EN2914-05016,1,2.312
23111CA050,20,0.3995
L23111-50CA,20,0.3995
3029-194,20,0.3995
MBBN3318-6-55-80,1,9.469
MBBN3131N0515,1,6.63
MBBN3131N0510,1,113.883
EN2139-05020,1,14.008
EN3155-008M2020,10,0.714
EN3155008M2020,10,0.714
M39029/58-363,10,0.714
E0547FZ2000,10,0.714
VG95343T18B001A,1,6.6555
202K121-25-225,1,6.6555
202K121-25/225,1,6.6555
202K121-25/225-0,1,6.6555
MBBN3331AJ18,1,18.2155
FSUMJ-1801PD,1,18.2155
EN3155-016M2222,100,0.7395
DHS713-181.05,100,0.7395
937910EA2200,100,0.7395
NSA937910EA2200,100,0.7395
EN3155016M2222,100,0.7395
EN3155-008M2222,20,0.714
M39029/58-360,20,0.714
EN3155008M2222,20,0.714
ASN-A3102-8762,20,0.714
E0547FZ2200,20,0.714
E0737B0816,100,0.6715
DHS711-893-20,100,0.6715
DHS711-893.20,100,0.6715
TC-CAPS-4001-9-CS-,100,0.6715
EN3155-003F2222,10,0.714
EN3155003F2222,10,0.714
M39029-57-354,10,0.714
M39029/57-354,10,0.714
001704-100-02,10,0.714
NSA937901S1,5,3.4425
001102-002-60,5,3.4425
1102-1,5,3.4425
E0043-1A9P,100,0.4845
0043-1A9P,100,0.4845
TY-RAP25M,100,0.4845
ASNA0341T0504,1,10.0385
CR7770S-05-04W,1,10.0385
ASNA0341T05-04,1,10.0385
ASNA0341T504,1,10.0385
ASNA0341T0505,1,10.438
CR7770S-05-05W,1,10.438
ASNA0341T05-05,1,10.438
AS3209-113,10,4.3095
M8348/1-113,10,4.3095
MS9388-113,10,4.3095
AS3209-029,1,5.0915
L22811-1,10,7.004
22811-1,10,7.004
9200001,10,7.004
21215DC2407J,200,0.0765
L21215-24-7DCJ,200,0.0765
21215DC3208J,100,0.2295
L21215-32-8DCJ,100,0.2295
21215DC3212J,100,0.2805
L21215-32-12DCJ,100,0.2805
21215TB2404,100,0.6205
L21215-24-4TB,100,0.6205
21215TB3206,100,1.0115
L21215-32-6TB,100,1.0115
21215TB3208,100,1.139
L21215-32-8TB,100,1.139
21215TB3207,100,1.071
L21215-32-7TB,100,1.071
21217DB2408,100,0.119
L21217-24-8DB,100,0.119
21217DC2405J,200,0.1445
L21217-24-5DCJ,200,0.1445
21217DC2406J,100,0.153
21217DC024006J,100,0.153
L21217-24-6DCJ,100,0.153
21217DC2407J,100,0.1785
L21217-24-7DCJ,100,0.1785
21217DC3209J,100,0.204
22125BC040014L,10,2.5415
L22125-40-14BCL,10,2.5415
22125BC040018L,25,4.403
L22125-40-18BCL,25,4.403
22125BC040020L,10,5.3465
L22125-40-20BCL,10,5.3465
22125BC040022L,20,5.0065
L22125-40-22BCL,20,5.0065
22125BC050010L,10,2.448
22125BC050022L,10,5.5165
22125BC050024L,10,5.899
22125BC060014L,10,3.332
22125BE080032L,10,1.8785
22126BC050012L,10,2.8305
9802051214,10,2.8305
22126BC050028L,10,8.4915
22126BC080024L,10,7.871
22201BC060009L,10,5.9245
L22138BC060BCL,10,5.9245
L22201-60-9BCL,10,5.9245
22202BE080028L,5,14.5095
22208BC040012L,50,1.4705
L22208-40-12BCL,50,1.4705
22208BC050010L,20,2.142
L22208-50-10BCL,20,2.142
22208BC050014L,50,1.836
22140BC050014L,50,1.836
L22208-50-14BCL,50,1.836
22208BC050018L,10,2.8815
L22208-50-18BCL,10,2.8815
22208BC050016L,50,2.04
L22208-50-16BCL,50,2.04
22208BC060010L,10,2.6775
951176,10,2.6775
L22208-60-10BCL,10,2.6775
22208BC060016L,20,3.0005
L22208-60-16BCL,20,3.0005
22208BC060020L,10,3.5445
L22208-60-20BCL,10,3.5445
22208BC060026L,10,1.564
22209BC050008L,20,2.1505
L22209-50-8BCL,20,2.1505
22209BC050012L,20,2.788
L22209-50-12BCL,20,2.788
22209BC050014L,10,3.1365
L22209-50-14BCL,10,3.1365
22209BC060012L,10,3.468
L22209-60-12BCL,10,3.468
22252BC060012L,10,4.522
L22252-60-12BCL,10,4.522
22256BC030012L,50,0.612
L22256-30-12BCL,50,0.612
22256BC040010L,20,2.2355
L22256-40-10BCL,20,2.2355
22256BC050022L,20,3.7825
22256TK050012X,10,6.035
22272BC030012L,20,1.411
L22272-30-12BCL,20,1.411
22273CE040010,10,1.7595
22431BC040L,20,1.0285
L22431-40BCL,20,1.0285
22435BC070L,10,1.7255
22453BC060L,20,3.7825
L22453-60BCL,20,3.7825
22453BC080L,10,5.797
L22453-80BCL,10,5.797
22461BC100L,1,15.6485
L22461-100BCL,1,15.6485
22462BC100L,10,10.659
L22462-100BCL,10,10.659
22731BC060037M,1,14.9345
L22731-60-37BCM,1,14.9345
23111AG030LE,100,0.204
L23111-30AGL,100,0.204
23111AG040LE,100,0.2125
L23111-40AGL,100,0.2125
3025-192,100,0.2125
23111AG060LE,50,0.493
L23111-60AGL,50,0.493
23111AG100LE,50,1.513
23111CA040,100,0.238
L23111-40CA,100,0.238
23111CA060,10,1.224
L23111-60CA,10,1.224
23112AG040LE,100,0.2295
L23112-40AGL,100,0.2295
23112AG050LE,100,0.2465
L23112-50AGLE,100,0.2465
23112AG060LE,100,0.357
L23112-60AGL,100,0.357
23112AG080LE,100,0.6375
