part_number,quantity,guide_price
NSA937901RB1000,1,38.5135
937901RB1000,1,38.5135
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
E0080-01-10C,2,24.021
6150RDS10,2,24.021
GTR62-10C-ACS1,2,24.021
MS21042L08,100,0.4845
MS3126F8-4S,1,39.1085
MS3126F08-4S,1,39.1085
MS90298-2,2,20.9525
8630-82,5,6.052
NSA936501TA2005,20,1.2325
936501-TA2005,20,1.2325
152658,20,1.2325
NAS1149F0363P,20,0.714
AN960-10,20,0.714
NAS1149F0432P,20,3.264
AN960-416L,20,3.264
AN960416L,20,3.264
8630-13,1,28.1435
SP112,1,94.877
SP112JK1A,1,94.877
JK1A,1,94.877
NAS1149FN832P,100,0.2295
AN960-8,100,0.2295
MS33737-11C,50,1.0965
NAS487-15,50,1.0965
NSA937901M20-04,1,20.825
DHS713-112.24,1,20.825
NSA937901M2004,1,20.825
937901M2004,1,20.825
EN3407R025006B,100,0.3145
EN3419R025005,100,0.1615
DIN65444-25050E,100,0.1615
EN3723-060,5,1.0285
DIN6548006D,5,1.0285
ASNA0078E402,10,2.3885
ASNA0078C402,10,2.3885
CR3523P4-2,10,2.3885
NSA55144-002,50,3.1535
55144-002,50,3.1535
27S5-1,50,3.1535
PC3-1-2,5,3.672
26-0003,5,3.672
PS3-1-2,50,1.411
PS3-1-2-38,50,1.411
76-5000,50,1.411
PF3-1-2-38,5,6.732
D5-PF35-38,5,6.732
PF35-38,5,6.732
26-0002,5,6.732
1N4007,5,16.711
ASNA0033-052,10,5.5675
MINOX1X,10,5.5675
55220-032-052,10,5.5675
EN3419R025004,100,0.0595
DIN65444-25040E,100,0.0595
DHS443-152.84,2,12.2485
SL601M5-12-7C,2,12.2485
NAS1149D0563J,100,0.51
AN960PD516,100,0.51
EN2367-23018,100,0.4675
EN2754-050,10,0.9775
NAS1149F0332P,1,1.36
AN960-10L,1,1.36
AN96010L,1,1.36
MS21042-04,50,0.459
MS27039-1-08,100,1.581
ASNA0113-32ADL,100,0.323
53114-32ADL,100,0.323
A0019-0952M,2,25.1515
ASNA0019-0952M,2,25.1515
MS21042L5,10,1.428
ASNA0363T0603,2,13.3365
CR7773S-06-03W,2,13.3365
ASNA0342T0603,2,13.3365
EN3155-008M2018,100,0.272
EN3155008M2018,100,0.272
ASNA0113-32CA,100,0.3315
ASN-A0113-32CA,100,0.3315
53114-32CA,100,0.3315
NSA55144-001,20,0.8755
55144-001,20,0.8755
2600SW,20,0.8755
2193-10C,1,104.0655
2193 10C,1,104.0655
LN9016-03K,1,1.1645
ASNA0341T0403,5,7.7095
CR7770S-04-03W,5,7.7095
ASNA0341T04-03,5,7.7095
CR7770S-4-3W,5,7.7095
22719BC040014L,2,39.967
L22719-40-14BCL,2,39.967
ASNA0265-120,5,30.4045
A0164TK050026X,1,9.656
ASNA0164TK050026X,1,9.656
DHS443-152.83,10,5.7715
DHS443-152-83,10,5.7715
SL601M5-9-4C,10,5.7715
A0164TK050S036X,10,8.194
ASNA0113-40ADL,100,0.442
53114-40ADL,100,0.442
DHS443-152.22,10,4.6155
"EF1001M5-12,7SV",10,4.6155
DHS443-152-22,10,4.6155
SL601M5-12-7S,10,4.6155
MS21042L4,50,0.782
NSA937901M20-09,1,10.217
DHS713-112-29,1,10.217
DHS713-112.29,1,10.217
937901M2009,1,10.217
NSA937901M2009,1,10.217
NSA937901M20-11,1,34.68
DHS713-112-31,1,34.68
DHS713-112.31,1,34.68
937901M2011,1,34.68
NSA937901M2011,1,34.68
FJM11E20-11T,1,34.68
22271BC050044L,10,4.25
L22271-50-44BCL,10,4.25
22271BC050032L,10,3.4255
22201BC060020L,10,6.6045
L22201-60-20BCL,10,6.6045
NSA937915-20,1,46.546
937915-20,1,46.546
110720061,1,46.546
ASNA0033-016,5,3.621
55220-010-016,5,3.621
ST406M53P132,5,3.621
NAS1149F0563P,200,0.5355
AN960-516,200,0.5355
ECS0721M1210,1,16.4985
090-0005-12100,1,16.4985
0103-01-1210,1,16.4985
A0164TK050S026X,10,9.639
993503-505,1,13.226
22126BC060020L,10,5.2955
NSA55134-202,5,8.381
55134-202,5,8.381
212-12A,5,8.381
EN3419R030009,10,0.085
DIN65444-30090E,10,0.085
A0164TK040S010X,10,3.808
A0164TK040010X,10,3.808
ASNA0164TK040010X,10,3.808
A0164TK050S008X,2,8.687
ASN-A0164TK050S008,2,8.687
MS33737-13C,10,1.088
NAS487-17,10,1.088
MS33737-12C,10,2.8305
NAS487-16,10,2.8305
23350AC050LE,20,1.3345
L23350-50ACL,20,1.3345
NSA936501TA2004,10,1.6405
936501-TA2004,10,1.6405
152657,10,1.6405
ASNA0077A404,20,2.125
CR3212-4-4,20,2.125
NSA936501TA2201,20,1.2495
936501-TA2201,20,1.2495
936501TA2201,20,1.2495
152642,20,1.2495
EN3545E05MX,1,67.677
EN3545E05MXA00C,1,67.677
95110-250,5,6.4855
NSA936501TA2003,20,2.329
936501-TA2003,20,2.329
152656,20,2.329
NSA936501TA2205,20,1.36
936501-TA2205,20,1.36
152646,20,1.36
NSA938421-03,5,1.6405
8630-04,5,1.6405
EN2367-14012,1000,0.289
MBBN3318-6-66-250,1,15.283
3318-6-66-250,1,15.283
MS3456L10SL3S,1,47.0305
201-136CZ-G1,1,399.568
201-136CZG1,1,399.568
EN2367-18020,50,0.408
EN3545E02FX,1,49.0025
EN3545E02FXA00C,1,49.0025
EN3545E02FXB00C,1,49.0025
EN2495-03AM,1,29.631
EN2495-03A,1,29.631
EN249503A,1,29.631
84402-003,1,29.631
84402003,1,29.631
EN2367-18022,10,0.408
EN2367-14018,20,0.323
EN2367-14016,20,0.323
EN2495-25AM,1,45.4835
84402-025,1,45.4835
EN2865-050,5,0.629
DIN65242AC05D,5,0.629
M83248/1-125,10,3.808
MS9388-125,10,3.808
NAS1593-125,10,3.808
M39029/30-218,5,6.6725
M39029-30-218,5,6.6725
ES49011-3,1,19.2185
ES49011-2,1,18.4365
ES49011-1,1,17.782
EN2139-06005,20,0.34
SL210M4-1,10,3.655
EF2005M4-1,10,3.655
SL210-04-1,10,3.655
VF1016,1,17.8755
E0607-02,20,1.513
DHS515-101-35,20,1.513
704A67042026,20,1.513
M39029/30-217,20,5.151
M39029-30-217,20,5.151
EN2367-18025,20,0.425
EN2367-23025,10,0.5525
EN2948-060,5,0.5355
EN2367-18018,50,0.391
EN2139-04005,10,0.9265
EN2139-05005,50,0.289
EN2139-05010,50,0.85
EN2367-23014,10,0.425
EN2139-10016,10,6.477
EN2139-12010,20,2.4905
EN2914-05010,5,2.703
MBBN3075-2402D,20,4.42
CCR264CS3-2,20,4.42
DIN65270-08D,1,8.8825
EN2948-080,10,0.5525
EN2139-08005,10,1.819
ASNA0033H120,10,4.1905
FX08M100-120HJ,10,4.1905
FLEXH8-100-120,10,4.1905
EN2495-05AM,1,31.1865
84402-005,1,31.1865
EN2495-10AM,1,44.9905
84402-010,1,44.9905
84402010,1,44.9905
